Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,331409864,6788147,,200197,,4068086,,2519864,14165,20483,604,93631958,282526,Americas
India,Asia,1382826609,5020359,2325,82091,,3942360,3249,995908,8944,3631,59,59429115,42977,South-EastAsia
Brazil,South America,212875572,4384299,,133207,,3671128,,579964,8318,20596,626,14505652,68141,Americas
Russia,Europe,145947739,1073849,,18785,,884305,,170759,2300,7358,129,41122307,281760,Europe
Peru,South America,33066529,738020,,30927,,580753,,126340,1460,22319,935,3567927,107901,Americas
Colombia,South America,50995500,728590,,23288,,607978,,97324,863,14287,457,3213298,63011,Americas
Mexico,North America,129214113,676487,4771,71678,629,481068,5273,123741,2747,5235,555,1520463,11767,Americas
South Africa,Africa,59463283,651521,,15641,,583126,,52754,539,10957,263,3940217,66263,Africa
Spain,Europe,46758621,603167,,30004,,,,,1157,12900,642,10756835,230050,Europe
Argentina,South America,45282165,577338,,11852,,438883,,126603,3049,12750,262,1602403,35387,Americas
Chile,South America,19150427,437983,,12040,,409944,,15999,905,22871,629,2887903,150801,Americas
Iran,Asia,84215113,407353,,23453,,349984,,33916,3811,4837,278,3613891,42913,EasternMediterranean
France,Europe,65304045,395104,,30999,,89891,,274214,759,6050,475,10000000,153130,Europe
UK,Europe,67960923,374228,,41664,,,,,106,5507,613,20292025,298584,Europe
Bangladesh,Asia,165030582,341056,,4802,,245594,,90660,,2067,29,1756746,10645,South-EastAsia
Saudi Arabia,Asia,34925213,326930,,4338,,305022,,17570,1286,9361,124,5817955,166583,EasternMediterranean
Pakistan,Asia,221765383,303089,665,6393,4,290760,499,5936,571,1367,29,3024987,13640,EasternMediterranean
Iraq,Asia,40404908,298702,,8166,,233346,,57190,570,7393,202,1948531,48225,EasternMediterranean
Turkey,Asia,84527459,294620,,7186,,261260,,26174,1327,3485,85,8742535,103428,Europe
Italy,Europe,60442889,289990,,35633,,214645,,39712,201,4798,590,9943944,164518,Europe
Philippines,Asia,109882134,269407,,4663,,207352,,57392,1048,2452,42,3164465,28799,WesternPacific
Germany,Europe,83840462,264844,,9445,,239100,,16299,237,3159,113,13436301,160260,Europe
Indonesia,Asia,274124275,225030,,8965,,161065,,55000,,821,33,2715346,9906,South-EastAsia
Israel,Asia,9197590,166794,2392,1147,,122785,2058,42862,535,18135,125,2771732,301354,Europe
Ukraine,Europe,43677294,159702,,3264,,70810,,85628,177,3656,75,1897688,43448,Europe
Canada,North America,37811148,138803,,9188,,121840,,7775,55,3671,243,6292160,166410,Americas
Bolivia,South America,11705864,128286,667,7447,53,86216,1018,34623,71,10959,636,278396,23783,Americas
Qatar,Asia,2807805,122214,,208,,119144,,2862,55,43527,74,700414,249453,EasternMediterranean
Ecuador,South America,17698121,119553,,10963,,97063,,11527,375,6755,619,357820,20218,Americas
Kazakhstan,Asia,18823207,106984,64,1671,,101267,431,4046,221,5684,89,2571562,136617,Europe
Romania,Europe,19210075,105298,,4236,,43244,,57818,460,5481,221,2110024,109839,Europe
Dominican Republic,North America,10870528,104803,,1998,,78387,,24418,210,9641,184,422070,38827,Americas
Panama,North America,4328710,102832,,2187,,75592,,25053,151,23756,505,406812,93980,Americas
Egypt,Africa,102727786,101340,,5679,,85745,,9916,41,986,55,135000,1314,EasternMediterranean
Kuwait,Asia,4283564,96301,,568,,86219,,9514,84,22482,133,684204,159728,EasternMediterranean
Belgium,Europe,11600239,94795,489,9930,3,18789,52,66076,67,8172,856,2674982,230597,Europe
Oman,Asia,5132686,90660,,797,,84113,,5750,184,17663,155,309212,60244,EasternMediterranean
Morocco,Africa,37001160,90324,,1648,,71047,,17629,263,2441,45,2274042,61459,EasternMediterranean
Sweden,Europe,10112466,87345,,5851,,,,,17,8637,579,1250488,123658,Europe
Netherlands,Europe,17142887,84778,,6258,,,,,74,4945,365,1832451,106893,Europe
Guatemala,North America,17983170,82684,,2984,,71983,,7717,5,4598,166,280030,15572,Americas
UAE,Asia,9915136,80940,,401,,70635,,9904,,8163,40,8278380,834923,EasternMediterranean
Japan,Asia,126393731,75958,,1451,,67831,,6676,174,601,11,1745311,13809,WesternPacific
Poland,Europe,37837789,75134,,2227,,61548,,11359,92,1986,59,3016740,79728,Europe
Belarus,Europe,9448662,74552,,761,,72661,,1130,,7890,81,1666468,176371,Europe
